,MONTH,DAY,DAY_OF_WEEK,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,ARRIVAL_DELAY,CANCELLED
5712760,12,25,5,LAS,DCA,6,-25.0,0
5712761,12,25,5,LAX,DTW,10,-48.0,0
5712762,12,25,5,LAX,DFW,10,-24.0,0
5712763,12,25,5,DEN,ATL,15,-18.0,0
5712764,12,25,5,SFO,CLT,15,-34.0,0
5712765,12,25,5,PHX,CLT,15,-12.0,0
5712766,12,25,5,RNO,ORD,15,-54.0,0
5712767,12,25,5,LAS,ATL,20,235.0,0
5712768,12,25,5,SEA,ORD,20,-15.0,0
5712769,12,25,5,SLC,CLT,20,5.0,0
5712770,12,25,5,SEA,PHL,21,-24.0,0
5712771,12,25,5,SFO,MSP,25,-12.0,0
5712772,12,25,5,LAS,IAH,25,,1
5712773,12,25,5,LAX,MSP,30,-33.0,0
5712774,12,25,5,SEA,ORD,30,-16.0,0
5712775,12,25,5,PDX,IAH,30,-22.0,0
5712776,12,25,5,LAX,MIA,30,-19.0,0
5712777,12,25,5,SFO,MIA,30,-15.0,0
5712778,12,25,5,LAX,PHL,30,-7.0,0
5712779,12,25,5,PHX,CLE,35,-42.0,0
5712780,12,25,5,SEA,CLT,35,-17.0,0
5712781,12,25,5,SEA,MSP,40,-3.0,0
5712782,12,25,5,SFO,PHL,40,11.0,0
5712783,12,25,5,SFO,IAH,41,11.0,0
5712784,12,25,5,LAS,ATL,45,-9.0,0
5712785,12,25,5,LAX,ORD,45,0.0,0
5712786,12,25,5,LAS,AUS,45,11.0,0
5712787,12,25,5,ANC,SEA,45,-39.0,0
5712788,12,25,5,LAS,ORD,45,-40.0,0
5712789,12,25,5,PHX,CMH,45,-30.0,0
5712790,12,25,5,LAS,PHL,45,-10.0,0
5712791,12,25,5,SLC,PHL,45,-10.0,0
5712792,12,25,5,ANC,SEA,45,-38.0,0
5712793,12,25,5,LAS,MSP,46,-16.0,0
5712794,12,25,5,DEN,PHL,49,-28.0,0
5712795,12,25,5,PDX,MSP,50,-18.0,0
5712796,12,25,5,LAX,CLT,50,-26.0,0
5712797,12,25,5,SLC,ATL,55,84.0,0
5712798,12,25,5,LAS,IAH,55,-6.0,0
5712799,12,25,5,LAX,ORD,55,-43.0,0
5712800,12,25,5,LAX,DFW,55,-10.0,0
5712801,12,25,5,LAS,CLT,55,-4.0,0
